restaurant_uid,restaurant_name,restaurant_url,scraped_at,status,section_uid,section_name,section_type,item_uid,item_name,item_description,item_status,price_units,currency_code,image_url,variant_count
1d6be113-721f-44c0-aa9d-219aad544d46,A&W Mall Galaxy,/surabaya/restaurant/a-w-mall-galaxy-1d6be113-721f-44c0-aa9d-219aad544d46,2026-02-25T22:00:16.356649+07:00,success,,Resto's top picks,4,,,,,,,,
1d6be113-721f-44c0-aa9d-219aad544d46,A&W Mall Galaxy,/surabaya/restaurant/a-w-mall-galaxy-1d6be113-721f-44c0-aa9d-219aad544d46,2026-02-25T22:00:16.356649+07:00,success,ae59439e-7472-4188-aef1-7a5210ab8d9d,GOFOOD GIFTING EXCLUSIVE,1,43f95451-1659-4ddb-9bcd-1e05128874a9,"GIFTING A - 4 Aroma Chicken, Rice, Chic Chunks & RB",4 Golden/Spicy Aroma Chicken + 2 Rice + 4pcs Chicken Chunks + 2 RB Reg.,1,189500,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/ce46fa4e-4332-4090-a104-5cd79ab2d742_menu-item-image_1771375073144.jpg,3
1d6be113-721f-44c0-aa9d-219aad544d46,A&W Mall Galaxy,/surabaya/restaurant/a-w-mall-galaxy-1d6be113-721f-44c0-aa9d-219aad544d46,2026-02-25T22:00:16.356649+07:00,success,ae59439e-7472-4188-aef1-7a5210ab8d9d,GOFOOD GIFTING EXCLUSIVE,1,4458d90b-b9fd-4766-81e0-e88d5119a258,"GIFTING B - 4 Aroma Chicken, Cheese Burgers & Fries",4 Golden/Spicy Aroma Chicken + 2 Cheese Burgers + 2 Fries (Curly/French).,1,235000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/693ea3f0-da94-4124-b34c-6b4de03a6701_menu-item-image_1771375324452.jpg,8
1d6be113-721f-44c0-aa9d-219aad544d46,A&W Mall Galaxy,/surabaya/restaurant/a-w-mall-galaxy-1d6be113-721f-44c0-aa9d-219aad544d46,2026-02-25T22:00:16.356649+07:00,success,a9a9f5ea-6d36-404c-93a1-5c9a3b5ae9dc,What's New,1,96c3dfaf-458a-412d-8fb3-73fca4637176,NEW! Potato Cheese Balls,NEW! Premium USDA diced potato balls loaded with cheddar and mozzarella cheese. MUST TRY!,1,40500,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d20e72e7-38bd-4263-bbe9-64f15d8781c5_69e76c9c-fc3c-4817-8589-59a986547415_POTATO-CHEESE-BALL.jpeg,0
1d6be113-721f-44c0-aa9d-219aad544d46,A&W Mall Galaxy,/surabaya/restaurant/a-w-mall-galaxy-1d6be113-721f-44c0-aa9d-219aad544d46,2026-02-25T22:00:16.356649+07:00,success,a9a9f5ea-6d36-404c-93a1-5c9a3b5ae9dc,What's New,1,a44e7e78-9d9e-47b4-9249-68112116964c,NEW! Potato Platter FREE! Potato Cheese Balls,NEW! 1 French Fries + 1 Curly Fries + FREE! 4pcs Potato Cheese Balls.,1,82250,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/8a812a1c-51ac-445e-b7c6-2957b754df1a_f1038719-eab8-4edc-874e-10c9ba177edf_POTATO-CHEESE-BALL-PLATTER.jpeg,0
1d6be113-721f-44c0-aa9d-219aad544d46,A&W Mall Galaxy,/surabaya/restaurant/a-w-mall-galaxy-1d6be113-721f-44c0-aa9d-219aad544d46,2026-02-25T22:00:16.356649+07:00,success,a9a9f5ea-6d36-404c-93a1-5c9a3b5ae9dc,What's New,1,08c86526-1b01-4a85-913b-c033a6e355c9,NEW! Polar Swirls - Strawberry & Cookies,A&W® vanilla soft serve swirled with rich strawberry sauce and cookie crumbs! Try it now!,1,21500,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/e20c9f42-4f47-4f63-b8c2-81cfe77f36d0_menu-item-image_1767811331360.jpg,2
1d6be113-721f-44c0-aa9d-219aad544d46,A&W Mall Galaxy,/surabaya/restaurant/a-w-mall-galaxy-1d6be113-721f-44c0-aa9d-219aad544d46,2026-02-25T22:00:16.356649+07:00,success,a9a9f5ea-6d36-404c-93a1-5c9a3b5ae9dc,What's New,1,dfdace68-ede7-486f-99b1-1c300804af0f,NEW! Polar Swirls - Cookies,A&W® chocolate soft serve swirled with bite sized cookie crumbs. An all-time-favorite reimagined! Try it now!,1,20500,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/270837ef-3021-4a54-82d5-f57cd011ce02_menu-item-image_1767811144200.jpg,2
1d6be113-721f-44c0-aa9d-219aad544d46,A&W Mall Galaxy,/surabaya/restaurant/a-w-mall-galaxy-1d6be113-721f-44c0-aa9d-219aad544d46,2026-02-25T22:00:16.356649+07:00,success,a9a9f5ea-6d36-404c-93a1-5c9a3b5ae9dc,What's New,1,960cbaa7-7c0b-46dc-aa89-36f9fcd34775,"NEW! 2 Curry Aroma Chicken, Rice, RB & FREE! Sundae",NEW! 2 Curry Aroma Chicken + 1 Rice + 1 RB Reg + FREE! Sundae,1,85000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/f1d07740-ff86-4c4a-8077-4f764e7aad45_menu-item-image_1766136389508.jpg,4
1d6be113-721f-44c0-aa9d-219aad544d46,A&W Mall Galaxy,/surabaya/restaurant/a-w-mall-galaxy-1d6be113-721f-44c0-aa9d-219aad544d46,2026-02-25T22:00:16.356649+07:00,success,a9a9f5ea-6d36-404c-93a1-5c9a3b5ae9dc,What's New,1,5101dc87-49a6-47df-a8dc-c7d1e7f5b3fd,"NEW! Curry Aroma Chicken, Rice, Chic Soup, Chic Chunks, RB & FREE! Sundae",NEW! 1 Curry Aroma Chicken + 1 Chicken Soup + 2pc Chicken Chunks + 1 Rice + 1 RB Reg + FREE! Sundae,1,85000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/04f58663-acfc-4b04-bd12-1e91c2e12e44_menu-item-image_1766136438421.jpg,4
1d6be113-721f-44c0-aa9d-219aad544d46,A&W Mall Galaxy,/surabaya/restaurant/a-w-mall-galaxy-1d6be113-721f-44c0-aa9d-219aad544d46,2026-02-25T22:00:16.356649+07:00,success,a9a9f5ea-6d36-404c-93a1-5c9a3b5ae9dc,What's New,1,38ed1e80-2f26-4a35-8ecb-55ffb1d0eda5,"NEW! Curry Double Beef Burger, Fries, RB & FREE! Sundae",NEW! 1 Curry Double Beef Burger + 1 Fries (Curly/French) + 1 RB Reg + FREE! Sundae,1,95000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/95c9f299-d0cd-4b1b-8554-fc04edb34ab9_menu-item-image_1766136474924.jpg,7
