restaurant_uid,restaurant_name,restaurant_url,scraped_at,status,section_uid,section_name,section_type,item_uid,item_name,item_description,item_status,price_units,currency_code,image_url,variant_count
8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,"Angsle Ronde Bondowoso Bp. Suhartono, Jl. Raya Dharmahusada",/surabaya/restaurant/angsle-ronde-bondowoso-bp-suhartono-jl-raya-dharmahusada-8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,2026-02-25T22:32:53.887537+07:00,success,,Orang-orang pada doyan ini,7,96b96d74-dd54-46d3-91f6-e0fc090cadfd,Ronde Isi Kacang Gula Putih,"5 butir bola bola ronde isi kacang tanah tumbuk, mutiara, degan serut, kacang tanah taburan dengan kuah jahe panas",1,24000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/8a4acd19-3c60-46c6-ab51-1663bb010580_Go-Biz_20231117_125018.jpeg,0
8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,"Angsle Ronde Bondowoso Bp. Suhartono, Jl. Raya Dharmahusada",/surabaya/restaurant/angsle-ronde-bondowoso-bp-suhartono-jl-raya-dharmahusada-8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,2026-02-25T22:32:53.887537+07:00,success,,Orang-orang pada doyan ini,7,3c86abef-797c-4ec1-b9f0-2f7132934a2d,Ronde Isi Kacang Gula Merah,"5 Bola Rinde Isi Kacang,mutiar,degan,kacang Sangrai Tabur,kuah Jahe Asli,dengan Gula Merah/aren Yang Khas Dan Lezat",1,25000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d682393a-765a-4af0-93cb-07c0d714ab80_Go-Biz_20231117_125300.jpeg,0
8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,"Angsle Ronde Bondowoso Bp. Suhartono, Jl. Raya Dharmahusada",/surabaya/restaurant/angsle-ronde-bondowoso-bp-suhartono-jl-raya-dharmahusada-8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,2026-02-25T22:32:53.887537+07:00,success,,Resto's top picks,4,96b96d74-dd54-46d3-91f6-e0fc090cadfd,Ronde Isi Kacang Gula Putih,"5 butir bola bola ronde isi kacang tanah tumbuk, mutiara, degan serut, kacang tanah taburan dengan kuah jahe panas",1,24000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/8a4acd19-3c60-46c6-ab51-1663bb010580_Go-Biz_20231117_125018.jpeg,0
8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,"Angsle Ronde Bondowoso Bp. Suhartono, Jl. Raya Dharmahusada",/surabaya/restaurant/angsle-ronde-bondowoso-bp-suhartono-jl-raya-dharmahusada-8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,2026-02-25T22:32:53.887537+07:00,success,,Resto's top picks,4,439d069d-afb4-4608-9a2d-9fb95e696fae,Angsle,"Mutiara, kacang hijau, roti tawar, ketan, kacang tanah, melinjo dengan kuah santan panas asli",3,23000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/93843670-11a7-46e7-aed4-8d47d4e0c297_Go-Biz_20230821_195343.jpeg,1
8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,"Angsle Ronde Bondowoso Bp. Suhartono, Jl. Raya Dharmahusada",/surabaya/restaurant/angsle-ronde-bondowoso-bp-suhartono-jl-raya-dharmahusada-8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,2026-02-25T22:32:53.887537+07:00,success,,Resto's top picks,4,b30c9c59-f0b4-4203-8de5-b640511326bd,Tahwa Biasa Gula Putih,"Tahwa lembut, kacang tanah tabur, kuah jahe asli dengan Gula Putih",3,19500,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/5ac7702b-34ed-4d22-b288-79bb801a3158_d3c0fc46-eb1c-4e38-a821-324ee8f3ac52_Go-Biz_20190527_184649.jpeg,0
8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,"Angsle Ronde Bondowoso Bp. Suhartono, Jl. Raya Dharmahusada",/surabaya/restaurant/angsle-ronde-bondowoso-bp-suhartono-jl-raya-dharmahusada-8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,2026-02-25T22:32:53.887537+07:00,success,,Resto's top picks,4,2417df4a-f594-4584-b2ea-22ab5aae98dd,Tauwa Kacang Kuah Komplit,"Tauwa,kacang Tanah Presto,kacang Ijo Kupas ,cakue.Opsi Kuah:jahe Atau Kuahnya Kacang Kuah.",3,22000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/68705809-f048-4810-808d-493263840a19_Go-Biz_20220618_173921.jpeg,1
8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,"Angsle Ronde Bondowoso Bp. Suhartono, Jl. Raya Dharmahusada",/surabaya/restaurant/angsle-ronde-bondowoso-bp-suhartono-jl-raya-dharmahusada-8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,2026-02-25T22:32:53.887537+07:00,success,,Resto's top picks,4,a7f28004-a092-464d-8158-d961c257b59d,Kacang Kuah Komplit,"Kacang tanah dipresto empuk, berkuah sedikit manis, dilengkapi irisan cakue goreng, kacang ijo kupas, dan siraman santan kental gurih.",3,20500,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/7afee901-3385-490f-b3a2-2a2fa435081d_Go-Biz_20231128_231039.jpeg,0
8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,"Angsle Ronde Bondowoso Bp. Suhartono, Jl. Raya Dharmahusada",/surabaya/restaurant/angsle-ronde-bondowoso-bp-suhartono-jl-raya-dharmahusada-8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,2026-02-25T22:32:53.887537+07:00,success,703ac91f-a3d1-4dd4-937f-5a56da383c54,Sweet Dessert,1,96b96d74-dd54-46d3-91f6-e0fc090cadfd,Ronde Isi Kacang Gula Putih,"5 butir bola bola ronde isi kacang tanah tumbuk, mutiara, degan serut, kacang tanah taburan dengan kuah jahe panas",1,24000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/8a4acd19-3c60-46c6-ab51-1663bb010580_Go-Biz_20231117_125018.jpeg,0
8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,"Angsle Ronde Bondowoso Bp. Suhartono, Jl. Raya Dharmahusada",/surabaya/restaurant/angsle-ronde-bondowoso-bp-suhartono-jl-raya-dharmahusada-8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,2026-02-25T22:32:53.887537+07:00,success,703ac91f-a3d1-4dd4-937f-5a56da383c54,Sweet Dessert,1,3c86abef-797c-4ec1-b9f0-2f7132934a2d,Ronde Isi Kacang Gula Merah,"5 Bola Rinde Isi Kacang,mutiar,degan,kacang Sangrai Tabur,kuah Jahe Asli,dengan Gula Merah/aren Yang Khas Dan Lezat",1,25000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d682393a-765a-4af0-93cb-07c0d714ab80_Go-Biz_20231117_125300.jpeg,0
8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,"Angsle Ronde Bondowoso Bp. Suhartono, Jl. Raya Dharmahusada",/surabaya/restaurant/angsle-ronde-bondowoso-bp-suhartono-jl-raya-dharmahusada-8646b2dc-66f1-4236-b8dc-fc21c6ef5b61,2026-02-25T22:32:53.887537+07:00,success,703ac91f-a3d1-4dd4-937f-5a56da383c54,Sweet Dessert,1,18293c00-51c8-46d1-9e61-a58b84315bac,Ronde Kering Kacang Wijen,"5 Bola Ronde Isi Kacang,tanpa Kuah,dengan Baluran Kacang Tanah Tumbuk,gula,dan Wijen",1,22000,IDR,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/ea2ff625-4e05-4ebb-aa7a-3bdc348a5a35_Go-Biz_20231117_125541.jpeg,0
